
[34;1mRun n.º 1[0m
                     Smokers - Description of the internal state

 AG  W00 W01 W02  S00 S01 S02  I00 I01 I02  C00 C01 C02
  1    0   0   0    0   0   0    0   0   0    0   0   0
  1    0   0   0    0   0   0    0   0   0    0   0   0
  1    0   0   0    0   0   0    1   0   1    0   0   0
  1    0   0   0    0   0   0    1   0   1    0   0   0
  1    0   0   0    0   0   0    1   0   1    0   0   0
  2    0   0   0    0   0   0    1   0   1    0   0   0
  2    0   0   0    0   0   0    1   0   1    0   0   0
  2    0   0   0    0   0   0    1   0   1    0   0   0
  2    0   0   0    0   0   0    1   0   1    0   0   0
  2    1   0   0    0   0   0    1   0   1    0   0   0
  2    1   0   1    0   0   0    1   0   1    0   0   0
  2    0   0   1    0   0   0    1   0   1    0   0   0
  2    0   0   2    0   0   0    1   0   1    0   0   0
  2    0   0   0    0   0   0    1   0   1    0   0   0
  2    0   0   0    0   1   0    0   0   0    0   0   0
  2    0   0   0    0   2   0    0   0   0    0   1   0
  1    0   0   0    0   2   0    0   0   0    0   1   0
  2    0   0   0    0   2   0    0   1   1    0   1   0
  2    0   0   1    0   2   0    0   1   1    0   1   0
  2    0   1   1    0   2   0    0   1   1    0   1   0
  2    0   1   1    0   0   0    0   1   1    0   1   0
  2    0   1   0    0   0   0    0   1   1    0   1   0
  2    0   2   0    0   0   0    0   1   1    0   1   0
  2    0   0   0    0   0   0    0   1   1    0   1   0
  2    0   0   0    1   0   0    0   0   0    0   1   0
  2    0   0   0    2   0   0    0   0   0    1   1   0
  1    0   0   0    2   0   0    0   0   0    1   1   0
  2    0   0   0    2   0   0    1   1   0    1   1   0
  2    0   1   0    2   0   0    1   1   0    1   1   0
  2    1   1   0    2   0   0    1   1   0    1   1   0
  2    1   1   0    0   0   0    1   1   0    1   1   0
  2    1   0   0    0   0   0    1   1   0    1   1   0
  2    2   0   0    0   0   0    1   1   0    1   1   0
  2    0   0   0    0   0   0    1   1   0    1   1   0
  2    0   0   0    0   0   1    0   0   0    1   1   0
